number of descriptions	1 dependency parsing	1 dependency reasoning	1 dependency total	2 dependencies parsing	2 dependencies reasoning	2 dependencies total	3 dependencies parsing	3 dependencies reasoning	3 dependencies total	parsing with dummies	reasoning with dummies	total with dummies
-	153.0	106.0	259.0	160.0	478.0	638.0	166.0	749.0	915.0	334.0	1218.0	1552.0
-	163.0	94.0	257.0	164.0	471.0	635.0	172.0	742.0	914.0	337.0	1149.0	1486.0
-	156.0	111.0	267.0	162.0	485.0	647.0	168.0	735.0	903.0	332.0	1174.0	1506.0
-	156.0	104.0	260.0	159.0	481.0	640.0	167.0	739.0	906.0	341.0	1163.0	1504.0
-	153.0	116.0	269.0	160.0	483.0	643.0	166.0	742.0	908.0	335.0	1134.0	1469.0
-	153.0	105.0	258.0	159.0	481.0	640.0	166.0	745.0	911.0	336.0	1173.0	1509.0
-	164.0	102.0	266.0	160.0	471.0	631.0	167.0	743.0	910.0	336.0	1174.0	1510.0
-	165.0	97.0	262.0	161.0	475.0	636.0	176.0	731.0	907.0	337.0	1169.0	1506.0
-	155.0	105.0	260.0	159.0	472.0	631.0	168.0	726.0	894.0	340.0	1110.0	1450.0
-	152.0	115.0	267.0	160.0	469.0	629.0	168.0	755.0	923.0	335.0	1153.0	1488.0
-	153.0	108.0	261.0	160.0	482.0	642.0	168.0	728.0	896.0	335.0	1160.0	1495.0
-	153.0	104.0	257.0	159.0	491.0	650.0	168.0	741.0	909.0	335.0	1112.0	1447.0
-	153.0	107.0	260.0	163.0	474.0	637.0	173.0	743.0	916.0	335.0	1138.0	1473.0
-	162.0	105.0	267.0	161.0	471.0	632.0	166.0	738.0	904.0	341.0	1120.0	1461.0
-	158.0	104.0	262.0	161.0	476.0	637.0	165.0	746.0	911.0	338.0	1186.0	1524.0
-	154.0	101.0	255.0	160.0	474.0	634.0	166.0	788.0	954.0	338.0	1135.0	1473.0
-	156.0	135.0	291.0	158.0	480.0	638.0	165.0	755.0	920.0	339.0	1109.0	1448.0
-	155.0	103.0	258.0	159.0	479.0	638.0	174.0	727.0	901.0	334.0	1138.0	1472.0
-	159.0	103.0	262.0	166.0	476.0	642.0	166.0	741.0	907.0	340.0	1127.0	1467.0
-	158.0	98.0	256.0	163.0	470.0	633.0	169.0	737.0	906.0	388.0	1132.0	1520.0
-	161.0	110.0	271.0	160.0	467.0	627.0	169.0	735.0	904.0	335.0	1167.0	1502.0
-	155.0	102.0	257.0	160.0	473.0	633.0	169.0	757.0	926.0	346.0	1143.0	1489.0
-	156.0	102.0	258.0	159.0	470.0	629.0	167.0	734.0	901.0	336.0	1137.0	1473.0
-	155.0	111.0	266.0	160.0	468.0	628.0	173.0	727.0	900.0	339.0	1124.0	1463.0
-	156.0	104.0	260.0	160.0	483.0	643.0	170.0	735.0	905.0	341.0	1192.0	1533.0
-	155.0	100.0	255.0	159.0	472.0	631.0	168.0	753.0	921.0	334.0	1134.0	1468.0
-	155.0	103.0	258.0	160.0	468.0	628.0	167.0	747.0	914.0	341.0	1106.0	1447.0
-	154.0	109.0	263.0	159.0	493.0	652.0	168.0	713.0	881.0	345.0	1166.0	1511.0
-	155.0	106.0	261.0	160.0	462.0	622.0	174.0	734.0	908.0	335.0	1116.0	1451.0
-	154.0	104.0	258.0	169.0	469.0	638.0	170.0	733.0	903.0	342.0	1107.0	1449.0
-	155.0	109.0	264.0	160.0	486.0	646.0	167.0	736.0	903.0	333.0	1179.0	1512.0
-	152.0	110.0	262.0	160.0	469.0	629.0	168.0	736.0	904.0	340.0	1111.0	1451.0
-	156.0	141.0	297.0	160.0	466.0	626.0	167.0	733.0	900.0	334.0	1117.0	1451.0
-	156.0	102.0	258.0	159.0	467.0	626.0	177.0	736.0	913.0	332.0	1144.0	1476.0
-	154.0	105.0	259.0	158.0	471.0	629.0	168.0	751.0	919.0	337.0	1120.0	1457.0
-	155.0	105.0	260.0	168.0	459.0	627.0	176.0	726.0	902.0	347.0	1126.0	1473.0
-	155.0	104.0	259.0	162.0	476.0	638.0	168.0	749.0	917.0	338.0	1129.0	1467.0
-	155.0	108.0	263.0	159.0	458.0	617.0	168.0	739.0	907.0	336.0	1177.0	1513.0
