number of descriptions	1 dependency parsing	1 dependency reasoning	1 dependency total	2 dependencies parsing	2 dependencies reasoning	2 dependencies total	3 dependencies parsing	3 dependencies reasoning	3 dependencies total	parsing with dummies	reasoning with dummies	total with dummies
-	35.0	27.0	62.0	38.0	8.0	46.0	37.0	22.0	59.0	61.0	9.0	70.0
-	35.0	16.0	51.0	47.0	32.0	79.0	46.0	7.0	53.0	69.0	20.0	89.0
-	44.0	9.0	53.0	44.0	12.0	56.0	39.0	9.0	48.0	55.0	22.0	77.0
-	36.0	27.0	63.0	35.0	24.0	59.0	37.0	11.0	48.0	69.0	12.0	81.0
-	45.0	3.0	48.0	36.0	22.0	58.0	37.0	28.0	65.0	59.0	15.0	74.0
-	35.0	29.0	64.0	35.0	15.0	50.0	46.0	7.0	53.0	71.0	14.0	85.0
8 (AVG)	41.8	19.3	61.1	44.6	60.7	105.3	50.6	18.2	68.8	72.3	25.4	97.7
-	38.0	24.0	62.0	48.0	11.0	59.0	52.0	17.0	69.0	80.0	-4.0	76.0
-	43.0	20.0	63.0	51.0	22.0	73.0	48.0	22.0	70.0	66.0	17.0	83.0
-	37.0	26.0	63.0	39.0	20.0	59.0	48.0	20.0	68.0	72.0	.0	72.0
-	40.0	24.0	64.0	38.0	24.0	62.0	44.0	37.0	81.0	59.0	19.0	78.0
-	41.0	17.0	58.0	39.0	42.0	81.0	46.0	22.0	68.0	61.0	29.0	90.0
-	49.0	2.0	51.0	42.0	30.0	72.0	40.0	25.0	65.0	64.0	37.0	101.0
-	38.0	23.0	61.0	50.0	4.0	54.0	59.0	.0	59.0	70.0	13.0	83.0
-	44.0	21.0	65.0	49.0	22.0	71.0	46.0	21.0	67.0	80.0	2.0	82.0
-	37.0	27.0	64.0	50.0	9.0	59.0	50.0	5.0	55.0	65.0	39.0	104.0
-	39.0	23.0	62.0	44.0	19.0	63.0	45.0	27.0	72.0	65.0	20.0	85.0
-	44.0	18.0	62.0	47.0	12.0	59.0	44.0	39.0	83.0	62.0	20.0	82.0
-	48.0	22.0	70.0	51.0	15.0	66.0	40.0	37.0	77.0	72.0	9.0	81.0
-	38.0	13.0	51.0	43.0	20.0	63.0	47.0	23.0	70.0	243.0	-156.0	87.0
-	41.0	22.0	63.0	43.0	35.0	78.0	48.0	41.0	89.0	118.0	-36.0	82.0
-	47.0	8.0	55.0	40.0	38.0	78.0	40.0	32.0	72.0	75.0	5.0	80.0
-	39.0	32.0	71.0	44.0	31.0	75.0	40.0	23.0	63.0	132.0	-55.0	77.0
-	41.0	24.0	65.0	45.0	19.0	64.0	46.0	20.0	66.0	65.0	33.0	98.0
-	40.0	22.0	62.0	49.0	18.0	67.0	50.0	24.0	74.0	74.0	23.0	97.0
-	44.0	20.0	64.0	41.0	18.0	59.0	42.0	27.0	69.0	72.0	15.0	87.0
-	48.0	14.0	62.0	48.0	20.0	68.0	45.0	27.0	72.0	63.0	7.0	70.0
-	48.0	4.0	52.0	49.0	11.0	60.0	44.0	15.0	59.0	74.0	16.0	90.0
-	47.0	12.0	59.0	45.0	8.0	53.0	40.0	31.0	71.0	67.0	15.0	82.0
-	50.0	-7.0	43.0	46.0	33.0	79.0	44.0	30.0	74.0	61.0	18.0	79.0
-	44.0	14.0	58.0	46.0	25.0	71.0	43.0	34.0	77.0	73.0	10.0	83.0
-	42.0	18.0	60.0	48.0	16.0	64.0	40.0	34.0	74.0	68.0	13.0	81.0
-	41.0	6.0	47.0	48.0	13.0	61.0	44.0	25.0	69.0	56.0	27.0	83.0
-	37.0	24.0	61.0	44.0	32.0	76.0	41.0	20.0	61.0	74.0	532.0	606.0
-	45.0	16.0	61.0	46.0	12.0	58.0	40.0	24.0	64.0	66.0	73.0	139.0
-	43.0	34.0	77.0	48.0	25.0	73.0	45.0	32.0	77.0	66.0	26.0	92.0
-	45.0	31.0	76.0	39.0	26.0	65.0	48.0	18.0	66.0	73.0	2.0	75.0
-	44.0	7.0	51.0	44.0	18.0	62.0	43.0	26.0	69.0	60.0	20.0	80.0
-	38.0	25.0	63.0	43.0	445.0	488.0	43.0	25.0	68.0	55.0	39.0	94.0
-	45.0	22.0	67.0	46.0	827.0	873.0	44.0	11.0	55.0	62.0	23.0	85.0
-	46.0	26.0	72.0	45.0	750.0	795.0	40.0	23.0	63.0	65.0	25.0	90.0
-	43.0	14.0	57.0	46.0	22.0	68.0	39.0	24.0	63.0	94.0	-12.0	82.0
-	38.0	20.0	58.0	50.0	10.0	60.0	51.0	18.0	69.0	65.0	34.0	99.0
-	38.0	16.0	54.0	44.0	22.0	66.0	39.0	36.0	75.0	56.0	32.0	88.0
-	42.0	13.0	55.0	39.0	38.0	77.0	40.0	28.0	68.0	61.0	37.0	98.0
-	45.0	17.0	62.0	39.0	35.0	74.0	50.0	25.0	75.0	64.0	32.0	96.0
-	41.0	27.0	68.0	39.0	25.0	64.0	41.0	26.0	67.0	56.0	30.0	86.0
-	43.0	21.0	64.0	43.0	21.0	64.0	90.0	-25.0	65.0	65.0	18.0	83.0
-	38.0	16.0	54.0	44.0	6.0	50.0	158.0	-103.0	55.0	61.0	27.0	88.0
-	37.0	24.0	61.0	54.0	17.0	71.0	126.0	-45.0	81.0	75.0	5.0	80.0
-	38.0	22.0	60.0	50.0	11.0	61.0	90.0	-27.0	63.0	63.0	31.0	94.0
-	38.0	28.0	66.0	47.0	21.0	68.0	52.0	12.0	64.0	69.0	22.0	91.0
-	41.0	25.0	66.0	47.0	22.0	69.0	51.0	14.0	65.0	64.0	30.0	94.0
-	43.0	19.0	62.0	37.0	28.0	65.0	47.0	26.0	73.0	61.0	25.0	86.0
-	41.0	16.0	57.0	38.0	24.0	62.0	41.0	20.0	61.0	56.0	39.0	95.0
-	36.0	27.0	63.0	38.0	26.0	64.0	46.0	23.0	69.0	64.0	21.0	85.0
-	37.0	28.0	65.0	38.0	37.0	75.0	48.0	23.0	71.0	64.0	23.0	87.0
16 (AVG)	45.6	33.4	79.0	59.9	22.6	82.5	53.8	39.4	93.2	80.6	31.3	111.9
-	42.0	33.0	75.0	49.0	22.0	71.0	53.0	42.0	95.0	70.0	37.0	107.0
-	42.0	13.0	55.0	46.0	44.0	90.0	51.0	40.0	91.0	67.0	23.0	90.0
-	47.0	27.0	74.0	47.0	31.0	78.0	60.0	36.0	96.0	79.0	16.0	95.0
-	42.0	17.0	59.0	45.0	27.0	72.0	57.0	28.0	85.0	64.0	11.0	75.0
-	42.0	27.0	69.0	44.0	32.0	76.0	55.0	20.0	75.0	75.0	32.0	107.0
-	52.0	10.0	62.0	50.0	11.0	61.0	61.0	41.0	102.0	68.0	26.0	94.0
-	43.0	19.0	62.0	47.0	16.0	63.0	67.0	13.0	80.0	65.0	40.0	105.0
-	42.0	15.0	57.0	45.0	22.0	67.0	53.0	32.0	85.0	68.0	27.0	95.0
-	41.0	24.0	65.0	55.0	9.0	64.0	49.0	26.0	75.0	67.0	39.0	106.0
-	41.0	26.0	67.0	52.0	20.0	72.0	48.0	29.0	77.0	61.0	52.0	113.0
-	48.0	15.0	63.0	46.0	37.0	83.0	58.0	29.0	87.0	70.0	24.0	94.0
-	44.0	33.0	77.0	53.0	17.0	70.0	57.0	28.0	85.0	70.0	38.0	108.0
-	49.0	151.0	200.0	53.0	20.0	73.0	55.0	357.0	412.0	70.0	12.0	82.0
-	42.0	400.0	442.0	56.0	25.0	81.0	56.0	31.0	87.0	69.0	44.0	113.0
-	49.0	57.0	106.0	47.0	17.0	64.0	49.0	101.0	150.0	71.0	16.0	87.0
-	47.0	23.0	70.0	53.0	31.0	84.0	53.0	33.0	86.0	81.0	12.0	93.0
-	54.0	10.0	64.0	46.0	28.0	74.0	47.0	42.0	89.0	67.0	30.0	97.0
-	49.0	18.0	67.0	57.0	21.0	78.0	55.0	38.0	93.0	77.0	37.0	114.0
-	51.0	21.0	72.0	330.0	-257.0	73.0	60.0	23.0	83.0	62.0	43.0	105.0
-	44.0	20.0	64.0	159.0	-84.0	75.0	55.0	40.0	95.0	78.0	22.0	100.0
-	43.0	37.0	80.0	167.0	-87.0	80.0	50.0	34.0	84.0	224.0	-107.0	117.0
-	43.0	27.0	70.0	56.0	11.0	67.0	50.0	26.0	76.0	169.0	-70.0	99.0
-	42.0	27.0	69.0	50.0	16.0	66.0	49.0	37.0	86.0	114.0	-10.0	104.0
-	41.0	23.0	64.0	54.0	10.0	64.0	57.0	27.0	84.0	76.0	559.0	635.0
-	43.0	34.0	77.0	47.0	26.0	73.0	48.0	36.0	84.0	66.0	138.0	204.0
