eye maximum 131072 descriptions with 50 repeats
-	76.0	125.0	201.0
-	77.0	32.0	109.0
-	71.0	22.0	93.0
-	85.0	12.0	97.0
-	64.0	49.0	113.0
-	82.0	14.0	96.0
-	90.0	16.0	106.0
-	65.0	15.0	80.0
-	75.0	22.0	97.0
-	66.0	28.0	94.0
-	69.0	41.0	110.0
-	72.0	29.0	101.0
-	80.0	82.0	162.0
-	74.0	31.0	105.0
-	70.0	20.0	90.0
-	70.0	22.0	92.0
-	75.0	30.0	105.0
-	64.0	35.0	99.0
-	69.0	25.0	94.0
-	69.0	9.0	78.0
-	63.0	30.0	93.0
-	79.0	10.0	89.0
-	66.0	43.0	109.0
-	73.0	30.0	103.0
-	79.0	24.0	103.0
-	78.0	34.0	112.0
-	79.0	21.0	100.0
-	71.0	20.0	91.0
-	71.0	19.0	90.0
-	81.0	25.0	106.0
-	80.0	12.0	92.0
-	72.0	28.0	100.0
-	64.0	30.0	94.0
-	77.0	23.0	100.0
-	74.0	25.0	99.0
-	74.0	26.0	100.0
-	77.0	23.0	100.0
-	66.0	27.0	93.0
-	73.0	25.0	98.0
-	66.0	35.0	101.0
-	69.0	27.0	96.0
-	68.0	38.0	106.0
-	68.0	37.0	105.0
-	72.0	24.0	96.0
-	78.0	261.0	339.0
-	75.0	280.0	355.0
-	75.0	82.0	157.0
-	79.0	51.0	130.0
32 (AVG)	82.4	43.1	125.5
-	87.0	14.0	101.0
-	86.0	15.0	101.0
-	83.0	32.0	115.0
-	86.0	11.0	97.0
-	89.0	21.0	110.0
-	92.0	23.0	115.0
-	87.0	5.0	92.0
-	84.0	27.0	111.0
-	96.0	-12.0	84.0
-	89.0	15.0	104.0
-	86.0	19.0	105.0
-	76.0	37.0	113.0
-	86.0	24.0	110.0
-	87.0	5.0	92.0
-	80.0	27.0	107.0
-	78.0	29.0	107.0
-	84.0	11.0	95.0
-	78.0	32.0	110.0
-	70.0	37.0	107.0
-	74.0	29.0	103.0
-	84.0	19.0	103.0
-	84.0	25.0	109.0
-	90.0	11.0	101.0
-	78.0	29.0	107.0
-	90.0	13.0	103.0
-	74.0	23.0	97.0
-	79.0	30.0	109.0
-	79.0	31.0	110.0
-	81.0	38.0	119.0
-	81.0	29.0	110.0
-	77.0	18.0	95.0
-	82.0	24.0	106.0
-	87.0	8.0	95.0
-	77.0	18.0	95.0
-	70.0	27.0	97.0
-	77.0	25.0	102.0
-	85.0	19.0	104.0
-	84.0	25.0	109.0
-	85.0	6.0	91.0
-	86.0	16.0	102.0
-	82.0	24.0	106.0
-	85.0	3.0	88.0
-	77.0	31.0	108.0
-	81.0	32.0	113.0
-	85.0	18.0	103.0
-	77.0	149.0	226.0
-	83.0	207.0	290.0
-	87.0	216.0	303.0
-	78.0	583.0	661.0
-	77.0	57.0	134.0
64 (AVG)	112.9	20.5	133.5
-	110.0	18.0	128.0
-	106.0	9.0	115.0
-	115.0	25.0	140.0
-	107.0	13.0	120.0
-	109.0	6.0	115.0
-	100.0	21.0	121.0
-	97.0	20.0	117.0
-	102.0	19.0	121.0
-	116.0	3.0	119.0
-	107.0	20.0	127.0
-	104.0	21.0	125.0
-	122.0	-6.0	116.0
-	99.0	21.0	120.0
-	112.0	12.0	124.0
-	127.0	-10.0	117.0
-	123.0	8.0	131.0
-	96.0	23.0	119.0
-	98.0	18.0	116.0
-	102.0	20.0	122.0
-	94.0	37.0	131.0
-	96.0	29.0	125.0
-	101.0	383.0	484.0
-	91.0	198.0	289.0
-	96.0	33.0	129.0
-	90.0	37.0	127.0
-	95.0	32.0	127.0
-	92.0	38.0	130.0
-	103.0	32.0	135.0
-	101.0	19.0	120.0
-	97.0	30.0	127.0
-	92.0	39.0	131.0
-	382.0	-252.0	130.0
-	143.0	-1.0	142.0
-	248.0	-128.0	120.0
-	97.0	23.0	120.0
-	103.0	15.0	118.0
-	111.0	24.0	135.0
-	91.0	30.0	121.0
-	99.0	29.0	128.0
-	104.0	18.0	122.0
-	99.0	12.0	111.0
-	112.0	-4.0	108.0
-	113.0	17.0	130.0
-	122.0	-13.0	109.0
-	116.0	-6.0	110.0
-	93.0	25.0	118.0
-	111.0	20.0	131.0
-	97.0	11.0	108.0
-	107.0	15.0	122.0
-	98.0	24.0	122.0
128 (AVG)	149.2	26.7	175.9
-	137.0	24.0	161.0
-	130.0	37.0	167.0
-	135.0	32.0	167.0
-	138.0	28.0	166.0
-	130.0	32.0	162.0
-	130.0	53.0	183.0
-	128.0	29.0	157.0
-	125.0	34.0	159.0
-	129.0	22.0	151.0
-	131.0	25.0	156.0
-	133.0	24.0	157.0
-	138.0	22.0	160.0
-	132.0	18.0	150.0
-	134.0	31.0	165.0
-	136.0	11.0	147.0
-	139.0	22.0	161.0
-	140.0	21.0	161.0
-	130.0	19.0	149.0
-	138.0	15.0	153.0
-	143.0	17.0	160.0
-	137.0	372.0	509.0
-	129.0	99.0	228.0
-	134.0	39.0	173.0
-	137.0	36.0	173.0
-	132.0	38.0	170.0
-	131.0	84.0	215.0
-	133.0	41.0	174.0
-	140.0	31.0	171.0
-	130.0	65.0	195.0
-	138.0	72.0	210.0
